N,Avg Exec Time
3660000,716786.1
3670000,717509.6
3680000,723664.7
3690000,719295.3
3700000,720804.1
3710000,723139.6
3720000,723377.4
3730000,746520.8
3740000,731747.8
3750000,729454.1
3760000,731124.0
3770000,734052.0
3780000,734813.7
3790000,741609.0
3800000,735854.9
3810000,742346.7
3820000,747905.5
3830000,742746.1
3840000,743997.5
3850000,749962.7
3860000,746778.5
3870000,751995.0
3880000,762961.1
3890000,764056.7
3900000,757759.4
3910000,760450.4
3920000,761730.0
3930000,771736.4
3940000,767925.4
3950000,768095.8
3960000,775976.7
3970000,771345.3
3980000,775236.7
3990000,775992.2
4000000,781428.9
4010000,781084.2
4020000,781596.3
4030000,786331.3
4040000,801401.6
4050000,794048.5
4060000,793365.8
4070000,804013.7
4080000,803407.1
4090000,804137.7
4100000,804616.9
4110000,824865.3
4120000,810905.2
4130000,814330.8
4140000,816627.7
4150000,817871.1
4160000,810476.6
4170000,809275.6
4180000,824812.3
4190000,822327.8
4200000,818561.4
4210000,840255.8
4220000,828699.6
4230000,827216.7
4240000,835767.9
4250000,843492.7
4260000,838347.4
4270000,835878.1
4280000,846043.2
4290000,842198.1
4300000,847247.6
4310000,842830.0
4320000,857594.1
4330000,861189.6
4340000,855398.3
4350000,858424.5
4360000,861931.2
4370000,863870.2
4380000,859313.4
4390000,873511.5
4400000,870805.6
4410000,870380.2
4420000,872700.7
4430000,885040.3
4440000,881129.0
4450000,876750.8
4460000,892644.2
4470000,890771.3
4480000,878122.5
4490000,893086.5
4500000,890707.0
4510000,891851.9
4520000,896014.9
4530000,893574.7
4540000,904125.4
4550000,896567.1
4560000,898654.7
4570000,919785.1
4580000,899874.7
4590000,908826.0
4600000,917625.4
4610000,909557.3
4620000,913426.8
4630000,921194.7
4640000,918916.3
4650000,913607.7
4660000,923728.5
4670000,933316.4
4680000,913681.9
4690000,926613.4
4700000,934566.8
4710000,937553.1
4720000,935589.3
4730000,942310.2
4740000,967957.7
4750000,925025.3
4760000,920252.1
4770000,924792.2
4780000,917616.2
4790000,927903.7
4800000,939136.8
4810000,927604.3
4820000,936758.1
4830000,940802.1
4840000,925900.6
4850000,944654.5
